index,orig_index,summary,protagonist,protagonist_type,antagonist,central_topic,valence,moral,moral+,moral-
1554,2302,"During a journey with his thirteen apostles, the Master and his followers arrived at a village lacking bread. He instructed them to each carry a stone, promising that with his blessing, these stones would turn into bread if none was found in the next village. St. Peter, having chosen a small stone initially, ended up with little bread, learning a lesson in preparedness. In a subsequent village, aiming to avoid his previous mistake, Peter chose a large stone, only to find it unnecessary as bread was available, leaving him burdened by his choice. Later, after witnessing the Master miraculously restore a man's elderly father to youth by placing him in a hot oven, Peter attempted to replicate the miracle. Misguidedly, he advised a man to cure his dying mother using the same method, which tragically resulted in her death. The distraught son confronted Peter, and the Master, amused yet compassionate, revived the woman, transforming her into a young girl, thus saving Peter from his grave mistake.",peter,victim,none,lesson in wisdom and consequences,3,"Wisdom and discernment are crucial in making decisions, as actions taken without understanding can lead to unintended and sometimes disastrous consequences",Prudence,Impulsiveness
1555,2304,"Beppo, a soldier, encounters a man who gifts him a magical knapsack that can make anyone jump into it on command. Using this knapsack, Beppo captures a landlord and a man with an endless purse, acquiring the purse in the process. He uses these items to do good and mischief until he learns the king's daughter is to be taken by the Devil due to a vow. Beppo captures the Devil in the sack, forcing him to promise not to take the princess and to leave her alone, thus saving her. Celebrated by the kingdom, Beppo later lives peacefully until old age, when he captures Death in the sack to avoid dying. Eventually, tired of life, he seeks out Death, who refuses to take him. Rejected by both Hell and Death, Beppo tricks his way into paradise by throwing his cap over the wall and claiming his right to retrieve it, ultimately staying there on his own terms.",beppo,hero,devil,cleverness and resourcefulness,5,Wit and cleverness can overcome even the most daunting challenges and adversaries,Cleverness and resourcefulness,Exploiting others
1556,2305,"In a time before Manila became a bustling city, a beautiful field of lilies on the banks of the Pasig River symbolized the happiness and peace of the people, protected by an ancient prophecy. However, this tranquility was shattered when invaders from across the sea overwhelmed the native defenders, despite their valiant efforts to protect their land, especially at the sacred lily field. The invaders' victory led to the destruction of the lilies and marked the end of the people's happiness. Over the years, the area transformed into a modern city, with the site of the lilies becoming Quiapo, a busy part of Manila. Despite the changes and the introduction of new cultures and customs, the memory of the lilies and the prophecy lingers among the older generations, leaving them to wonder if the lilies, symbolizing peace and happiness, will ever return, possibly in the form of the new influences and people that have come to the islands.",none,none,none,the destruction of a symbol of peace and happiness the lilies and the impact of invasion and change on a culture and land,2,"The preservation of cultural and natural beauty is crucial for the happiness and peace of a people, but it is vulnerable to the destructive forces of change and conflict",Protecting cultural and natural heritage,Desecrating sacred symbols and lands
1557,2307,"The story revolves around two brothers, one rich and the other poor, who were both soldiers. The poor brother, seeking to escape his poverty, became a farmer and grew an enormous turnip, which he decided to present to the King rather than sell or consume. Impressed by the turnip and the farmer's humility, the King rewarded him with wealth surpassing that of his rich brother. Envious, the rich brother attempted to win the King's favor by offering him gold and horses, expecting a greater reward. However, the King gifted him the giant turnip instead. Frustrated and angry, the rich brother plotted to kill the poor brother by hiring murderers. The plan went awry when the poor brother, about to be hanged, was left in a sack by the murderers who fled upon hearing a traveler. The traveler, a student, was tricked by the poor brother into believing the sack was a source of wisdom. The poor brother escaped by convincing the student to swap places, leaving the student hanging in the sack while he made his escape on the student's horse, later ensuring the student was released.",poor brother,"hero, victim",rich brother,envy and resourcefulness,4,"Humility and ingenuity can lead to unexpected fortune, while envy and greed can result in one's downfall",Humility and ingenuity,Envy and greed
1558,2308,"The story recounts the tragic end of Jason and Medeia, highlighting the consequences of seeking assistance from malevolent forces and achieving goals through wicked means. Medeia, known for her cruel deeds, including the cunning plot that led to the death of Pelias through a deceptive rejuvenation trick, ultimately faces Jason's ingratitude and betrayal. Her revenge on him is ominously hinted to be dreadful. The narrative also touches on the fates of other mythical heroes and their adventures, such as the hunting of the Calydonian boar, Heracles's twelve labors, the battle of the seven at Thebes, and the inseparable bond of Castor and Polydeuces. It mourns the loss of Cheiron, the immortal centaur, who relinquishes his immortality to escape the agony of a poisoned wound, highlighting the theme of mortality and the fleeting nature of life. The tale concludes by connecting these ancient stories to the enduring legacy of Greek heroes in the epic poems of Homer, promising to share the uplifting story of Odysseus's return to Ithaca with his family. The story serves as a cautionary tale about the dangers of evil alliances and the importance of moral integrity, while also celebrating the timeless tales of heroism and the complex tapestry of Greek mythology.",jason,victim,medeia,consequences of evil deeds,1,Seeking help from evil persons or achieving goals through wicked means ultimately leads to dire consequences,Seeking justice and integrity,Seeking revenge
1559,2309,"An old couple, longing for children, magically transforms a basket of beans into children, only to wish them back into beans except for one boy they name Pepper-Corn. Beloved by all, Pepper-Corn tragically dies by falling into a pot of boiling soup. His death causes a cascade of mourning that starts with the old couple and spreads to a dove, an apple tree, a well, the queen's maid, the queen, and finally the king, each reacting dramatically to the news of his death. The king's declaration of Pepper-Corn's death and the widespread mourning highlights the profound impact of the small, cherished boy on the entire kingdom.",pepper corn,victim,none,the consequences of wishes,1,"Be careful what you wish for, as the consequences may not be what you expect",Caution in wishing,Recklessness in desires
1560,2310,"In a tale of wit versus strength, two renowned individuals from neighboring villages, Mr. Mighty-of-his-mouth, known for his exceptional oratory skills, and Mr. Mighty-of-his-hands, celebrated for his physical prowess, decide to cohabit to determine who among them is superior. Their companionship is tested during the great feast of the nine nights when they plan to sacrifice a goat without paying for it. They attempt to steal a goat, which turns out to be a goblin in disguise, from a shepherd's fold. The goblin, mistaking them for mythical creatures called kûtas, panics and eventually reveals itself, fleeing back to its kind with a tale of its narrow escape. The goblins, seeking revenge, invade the friends' home but are outwitted by Mr. Mighty-of-his-mouth's clever ruse, convincing them that humans are a grave threat. Later, when the friends encounter the goblins again in a forest, Mr. Mighty-of-his-mouth's quick thinking saves them once more. Acknowledging the power of intellect over brute strength, Mr. Mighty-of-his-hands concedes that true might lies in one's mental capabilities, illustrating the story's moral that the greatest attribute of man is his mind.",mr mighty of his mouth,hero,bhûtas,wit versus strength,4,"The greatest attribute of man is his mind, illustrating that intellect and wit are superior to physical strength",Using intellect over brute force,Relying solely on physical strength
1561,2311,"Coinnach Oer, also known as Dun Kenneth, was a renowned prophet in the Highlands, particularly in Ross-shire where he was a small farmer. His prophetic abilities were said to have been granted to him after he followed a voice from the air instructing him to dig under a green knoll for small white stones, which endowed him with supernatural foresight. Kenneth made numerous predictions that often found confirmation through the credulity of the people and coincidental events, becoming a notable figure in Highland prophecy. One of his most famous prophecies foretold the arrival of certain individuals and the subsequent hardship and displacement of the Highlanders due to oppressive rents and the introduction of sheep farming, leading to emigration to America. Kenneth's last act of prophecy at a M’Kenzies' festival nearly cost him his life when he insulted the clan, leading to a chase that ended with him renouncing his prophetic powers by throwing the talismanic stones into Loch Ousie. Kenneth had a son, Ian Dubh Mac Coinnach, who was killed in a fray early in the present century, an event his father did not foresee, highlighting a tragic end to the lineage of a man once celebrated for his visions of the future.",coinnach oer,"hero, victim",none,prophecy and its consequences,2,The pursuit and use of supernatural powers can lead to unforeseen consequences and personal peril,Exercising caution with one's abilities,Misusing prophetic powers
1562,2313,"A destitute and elderly fisherman, struggling to support his wife and three children, adheres to a daily routine of casting his nets no more than four times. One morning, his efforts yield nothing but disappointment: first, the carcass of an ass, then a basket of rubbish, followed by stones, shells, and mud. On his fourth attempt, he retrieves a sealed yellow pot, which he initially hopes to sell. Curious about its contents, he opens it, releasing a dense smoke that transforms into a formidable genie. The genie, mistaking the fisherman for the king of the genii, initially threatens to kill him despite the fisherman having freed him from his long imprisonment within the pot. The genie recounts his history of changing promises for his liberator, from riches and kingship to a grim vow of death as his patience waned over centuries. The fisherman, cleverly doubting the genie's ability to fit inside the pot, tricks the genie into demonstrating his ability to do so. Once the genie reenters the pot, the fisherman quickly seals it, sparing himself from death and contemplating throwing the pot back into the sea to prevent the genie from harming anyone else. The genie attempts to negotiate his release, but the fisherman, wary of deceit, refuses, drawing a parallel to a story of betrayal he begins to recount.",fisherman,"hero, victim",genius,cleverness and survival,3,Wit and cleverness can overcome even the most formidable threats,Cleverness,Revenge
1563,2314,"Pah-tay, a little Indian boy, decided to go hunting for rabbits in the snow, equipped with his new bow, arrows, and lunch prepared by his mother, Ye-ah, who also performed a ritual for his safety. After a successful hunt, Pah-tay got lost in the snowstorm and sought refuge in a house, only to be captured by an old witch who intended to eat him after consuming the rabbits he had caught. Pah-tay cleverly tricked the witch, allowing him to escape by making her believe he was still there with a fairy's help while he sought help from two men and then hid among women grinding corn. The witch transformed into the north wind to pursue him but was ultimately defeated by the confusion caused by the sound of rattles in a kiva where medicine men were dancing, allowing Pah-tay to safely return home to his mother.",pah tay,hero,old witch,survival and cleverness,4,Wit and cleverness can help one overcome dangerous and challenging situations,Cleverness,Deception
1564,2315,"In a certain town, a wealthy man owned a dog and a cat, both of whom were very useful to him. The dog, now old and toothless, had served him for years, while the cat was strong and cunning. The man often sent them to deliver presents to his daughter, who was studying at a convent. One day, he entrusted them with a magic ring for his daughter, instructing the cat to carry it due to her strength and the dog to guide and protect her. However, upon reaching a river they needed to cross by swimming, the dog convinced the cat to hand over the ring, arguing he could better protect it. Unfortunately, the dog lost the ring in the swift river currents. Unable to find it, they headed back, but the dog, overwhelmed by fear of punishment, fled and was never seen again. The cat returned alone and explained the situation to their master, who became furious and decreed that the dog be punished by having its tail cut off, ordering a search for him by all dogs, who to this day ask each other if they are the one who lost the magic ring, showing their tails as proof of innocence. This story also explains why cats fear water and avoid swimming across rivers.",cat,victim,dog,responsibility and consequences,2,Failing to uphold trust and responsibility can lead to dire consequences and loss,Upholding trust and responsibility,Failing to protect entrusted valuables
1565,2316,"In the story, a poor but cheerful man from Tilleda, celebrating the christening of his eighth child, jestingly sends his daughter to fetch wine from the legendary cellar of the old Knights in the Kyffhauser mountain. Surprisingly, the girl finds an ancient housekeeper in the mountain who provides her with exquisite wine for free, under the condition that it should never be sold but only given away. The wine becomes a secret source of joy for their household celebrations. However, their neighbor, a dishonest publican who adulterates his wine, follows the girl and attempts to steal the wine for profit. His greed leads him into a terrifying supernatural encounter that results in his death, serving as a grim warning against greed and the violation of the old woman's conditions. The story intertwines elements of folklore, the supernatural, and moral lessons on integrity and the consequences of greed.",girl,hero,publican,greed and its consequences,2,"Greed and dishonesty lead to dire consequences, while generosity and integrity are rewarded",Generosity,Greed
1566,2317,"In a stately castle by the sea, a well-liked little page-boy, known for his good nature and diligent service, embarks on a daring adventure to visit the Fairy Knowe, a hillock rumored to be the abode of fairies, despite warnings to avoid it. One night, driven by curiosity and a desire to prove his visit, he sneaks out to the Fairy Knowe and discovers a lively gathering of fairies, elves, and gnomes inside. Fascinated, he observes them until they notice him and, after initially welcoming him, begin to mock him and his life at the castle. Determined to have a tangible proof of his adventure, the page-boy seizes a magical cup that fills with the drinker's desired wine. When the fairies become hostile, he cleverly extinguishes the candles with water from the cup, plunging the room into darkness, and escapes with the cup. Chased by the enraged fairies, he remembers advice that fairies cannot touch someone on wet sand, and narrowly escapes to the safety of the castle. The cup remains in the castle for years, a testament to the page-boy's bravery and the truth of his extraordinary adventure.",page boy,hero,fairies,adventure and bravery,4,"Curiosity and courage can lead to extraordinary adventures, but one must also be clever and resourceful to navigate the dangers that come with them",Curiosity and resourcefulness,Disregarding warnings
1567,2319,"In a kingdom ruled by a king who favored his handsome younger son over his ugly, one-eyed older son, Deesa, the latter, fueled by anger and ambition, conspires with his enchantress wife, Matni, to eliminate his brother. Matni transforms the younger prince into a fish, who is then thrown into the river by Deesa. The transformed prince swims away, eventually getting caught and taken to another kingdom, where the queen grows fond of him and names him Athon-Rajah, the Fish Prince. As he grows, the queen decides to find him a wife, despite his unusual form. After much difficulty, a beggar agrees to offer his daughter, Maya, in exchange for gold. Maya, advised by a seven-headed cobra, uses magical pebbles to break the prince's enchantment, transforming him back into a human. The story concludes with the prince and Maya living happily in the palace, free from the confines of the tank and the enchantment.",athon rajah,victim,matni,enchantment and transformation,4,True love and courage can overcome curses and transform one's fate,Compassion and bravery,Envy and deceit
1568,2320,"In a mysterious palace surrounded by olive trees and aloes near Ecija, the White Cat of Ecija lived, her origins shrouded in the days of Saracenic rule. The palace, reminiscent of the alcazar at Toledo, housed servants who appeared human but were deaf and dumb, adding to the enigma. The garden featured statues of young men and women that seemed almost alive, and at night, the palace emanated sad music. The locals, resigned to the mystery, paid it little mind until knights began arriving, each bearing the image of a white cat on their shields but with different mottos. The first two knights disappeared after heading towards the palace, leaving the White Cat more sorrowful each time. The third knight, bearing a simple red cross, faced a dragon and other monstrous challenges to rescue the White Cat. Upon defeating these foes, the White Cat transformed into a beautiful maiden named Mizpah, revealing she and her companions were cursed by her father's wish upon discovering her Christian faith. The knight, a devout Christian from Compostella, declined any reward, stating his duty was to rescue maidens in distress. Mizpah's wedding was celebrated by all in Ecija, grateful to the knight for their happiness.",knight of the cross,hero,dragon,rescue and transformation,5,"True courage and faith, symbolized by the knight of the cross's reliance on the cross rather than on himself, can overcome even the most daunting challenges and break curses, leading to liberation and happiness",Trusting in faith over oneself,Relying solely on oneself in the face of adversity
1569,2322,"Farmer Derwent, accompanied by his four stout sons and Ellen, the adopted daughter and betrothed of his missing son, sets off on an autumn night to attend a meeting of patriots near Philadelphia, aiming to oppose the British forces. As they prepare their lantern by the road, Ellen reveals that she was supposed to meet the missing son there that night, as per his request a year ago, but her current mission is to warn the patriots of an impending British attack. Suddenly, British troops approach, and at Derwent's command, his sons ambush the soldiers, killing four but ultimately being overpowered. In a shocking turn, the British soldier who fatally wounds Derwent is revealed to be his missing son, now haggard and dressed in the enemy's uniform. Recognizing his family and Ellen, he shows her a locket with her picture, signifying his unchanged affection. However, Ellen is horrified, and in a fit of despair, the son renounces his allegiance, fords a river, and commits suicide by forcing his horse to leap from a high rock, plunging both into the abyss, marking a tragic end to his betrayal and internal conflict.",farmer derwent,victim,missing son,betrayal and family conflict,1,"Betrayal, especially within a family, leads to tragic consequences and irrevocable loss",Loyalty to family,Betrayal
1570,2324,"The story recounts the eerie encounters between Lachlan Dhu Macpherson, a renowned fiddler, and a mischievous ghost in the haunted Bog of Torrans. One night, returning from a ball, Macpherson is confronted by the ghost, leading to a fierce battle where both combatants wield clubs. Initially, the fight is evenly matched, but as the ghost's strength wanes, Macpherson gains the upper hand, forcing the ghost to retreat, albeit with intentions of a future rematch. This opportunity arises when Macpherson, again returning from a ball, encounters the ghost in a precarious location known for its eerie atmosphere. The ghost attempts to pull Macpherson down a precipice to drown him, but Macpherson clings to some trees, saving himself from this fate. Enraged, the ghost resorts to physically assaulting Macpherson, who, in desperation and with no other weapon but his biodag (a small dagger), stabs the ghost three times. Astonishingly, this causes the ghost to fall dead, never to be seen or heard from again, showcasing Macpherson's courage and the unexpected vulnerability of the spectral adversary.",lachlan dhu macpherson,hero,ghost of bogandoran,supernatural combat,4,Courage and determination can overcome even the most daunting and supernatural challenges,Facing fears with courage,Bullying others
1571,2325,"Once upon a time, two young and handsome scholars, Liu Tschen and Yuan Dschau, ventured into the Tian Tai hills to gather herbs and stumbled upon a magical valley where they met two beautiful maidens under blossoming peach trees. The maidens, dressed in red and green, claimed to have been waiting for them and swiftly married the scholars. Immersed in this enchanting world, the scholars lost track of time, enjoying the simple pleasures of life until homesickness struck them. Acknowledging their longing for home, the maidens prepared a farewell banquet, giving them magic wine for the journey. Upon their return, the scholars discovered that seventy years had passed, and everything had changed. Liu Tschen was joyously reunited with his family, now vastly extended, and used the magic wine to rejuvenate his wife and elder relatives. His story reached the emperor, who honored him but was politely declined a visit, though Liu sent him some magic wine. Yuan Dschau, however, found his family gone and his descendants unworthy, leading him to return to the hills alone. Liu, after some years with his rejuvenated family, also returned to the hills with his wife, disappearing from the mundane world.",liu tschen,hero,none,the passage of time and its effects,4,"Time is fleeting and transformative, but with love and magical intervention, one can find joy and rejuvenation even in the face of inevitable change",Cherishing time and embracing change,Neglecting the passage of time
1572,2326,"In a distant land, a group of young men ventured out to gather food and ended up at a pool where they decided to fish instead of collecting bulrush roots, deeming the latter task more suitable for women and children. One of the men used raw meat as bait and caught a creature believed to be the cub of the mythical Bunyip, despite the horror and recognition from his companions. Ignoring the mother Bunyip's distress, he took the cub, hoping to gift it to his sweetheart. As they returned, the pool's water mysteriously rose, threatening to engulf everything. In a desperate attempt to escape the flood, the man with the Bunyip cub and his friends transformed into black swans, a form they remained in permanently, able to communicate in a unique language. The Bunyip cub was returned to its mother, and the waters receded, but the area remained feared and avoided due to the Bunyip's presence and the legend of her underwater house filled with wonders unseen by mortals.",none,victim,none,consequences of disrespecting nature,1,Disrespecting nature and its creatures can lead to dire consequences for oneself and others,Respecting nature,Disrespecting nature
1573,2327,"Long ago, an old couple who had no children devoted their love to a little dog. This dog, grateful for their kindness, one day led the old man to a spot in the garden where they discovered a box full of gold, making them rich. Their envious neighbor, desiring similar fortune, borrowed the dog, hoping it would find treasure for him too. However, the dog only unearthed a parcel of old bones, leading the neighbor to kill the dog in a fit of rage. Devastated, the old couple buried the dog, and following its posthumous advice, made a mortar from a tree that grew over its grave. This mortar turned rice into gold, but when the neighbor borrowed and destroyed it out of envy, the dog's spirit advised the old man to use the ashes for a miraculous event. During the Daimio's procession, the old man scattered the ashes on cherry trees, causing them to blossom spectacularly, earning him the Daimio's favor and rich presents. The envious neighbor tried to replicate this but only managed to blind the Daimio and his warriors with the ashes, resulting in his imprisonment and eventual downfall, while the old couple continued to be blessed thanks to their faithful dog.",old man,"hero, victim",envious neighbor,envy and its consequences,4,"Gratitude and kindness are rewarded, while envy and greed lead to one's downfall",Kindness and gratitude,Envy and greed
1574,2329,"Once upon a time, two elderly serfs prayed for a child and were blessed with seven sons, all named Simeon. After their parents' death, the brothers worked their inherited land until Tsar Ador noticed them and decided to help them find their callings. Each brother, however, revealed unique and magical abilities instead of choosing a traditional craft. The eldest could build a column to the sky, another could see across the world, another could instantly build a ship, and so on, with each brother's skill complementing the others. The youngest claimed to be a master thief, which initially angered the Tsar until he saw an opportunity to use the brothers' talents to win the hand of the beautiful Tsarina Helena, whom he had long desired. The brothers embarked on an adventurous journey, using their magical skills to overcome obstacles and eventually abduct the Tsarina Helena for Tsar Ador. Despite an attempt by Helena to escape by transforming into a swan, the brothers succeeded in bringing her back to Tsar Ador, who, in gratitude, granted them freedom and riches. The Tsar and Helena lived together in peace and happiness for many years.",simeon,hero,none,magical abilities and resourcefulness,4,Unique talents and teamwork can overcome great challenges and fulfill seemingly impossible tasks,Teamwork and resourcefulness,Abducting someone for personal gain
1575,2331,"In the narrative, a young Flemish cavalier named Jesus Maria, inspired by a wise monk's interpretation of his name as a sign that his destiny lies with the sea, embarks on a journey that leads him to the Azores, specifically to the island of Fayal. Enchanted by the island's beauty and deciding to make it his home, Jesus Maria falls deeply in love with Ida, a beautiful Portuguese settler's daughter. However, bound by his vow of celibacy as a member of the order of St. George of Borgonha, he struggles with his feelings, ultimately deciding to leave Fayal to preserve his vow and avoid confessing his love to Ida. He relocates to the island of Pico, where he lives out his days as a hermit, never revealing his secret love. Upon his death, a peach tree, symbolizing silence and the fruitful words that can spring from the heart, grows from his tomb, embodying the lesson that sometimes silence can lead to the most profound expressions.",jesus maria,hero,none,unrequited love and personal sacrifice,2,True love and personal integrity often require great sacrifice and self-restraint,Silence and self-sacrifice,Breaking vows
1576,2332,"John Wilde, a peasant from Rodenkirchen with a dubious reputation and a knack for cunning, came into possession of a glass shoe belonging to the underground people, either by finding it or by deceitfully taking it. Knowing its value to its owner, he demanded a high price for its return. A merchant from the underground people, disguised as a respectable trader, offered to buy it back. Wilde, leveraging his advantage, demanded a magical boon instead of money: for every furrow he plowed, a ducat would appear. The merchant agreed, and Wilde became obsessed with plowing to unearth more ducats, neglecting his family, health, and social life in pursuit of wealth. Despite his initial success and the accumulation of a vast treasure, Wilde's relentless pursuit of gold led to his downfall. He died from exhaustion, a victim of his greed, leaving behind a fortune that elevated his family's status but did nothing for his own tragic end.",john wilde,"victim, villain",none,greed,1,The relentless pursuit of wealth can lead to one's downfall and does not bring true happiness or fulfillment,Moderation in desires,Greed
1577,2333,"The story revolves around Princess Stella, known for her beauty and whimsical nature, which frustrated her father, the king, as she rejected every suitor for minor flaws. Desperate to find a successor, the king hosted a grand banquet, inviting many princes and kings, hoping Stella would find a suitable match. Stella, observing secretly, dismissed all but one prince for having a crumb in his beard, deeming him ""dirty."" This prince, from Green Hill, overheard her and vowed revenge. Disguising himself as a baker's sifter, he captivated Stella with his singing, leading to a romance where Stella, unaware of his true identity, agreed to elope. The prince then subjected Stella to a series of humiliations, including living in poverty, stealing, and facing public ridicule, to punish her pride. Eventually, at a ball, after Stella was humiliated one last time, the truth was revealed by the king's mother. Stella was dressed as a queen, and her true husband, the prince, along with her parents, forgave her. The experience humbled Stella, teaching her the value of humility and the folly of pride, leading to a harmonious life thereafter.",stella,victim,prince of green hill,pride and its consequences,2,Pride can lead to one's downfall and humility is a virtue that should be embraced,Embracing humility,Pride
1578,2334,"In a tale of enchantment and transformation, two peasants with three daughters find their youngest, Helga, destined to marry a man named Habogi, a name she had never heard before and did not desire. Despite her reluctance and the allure of other suitors, including many named Sigmund and Sigurd whom her sisters favored, Helga finds herself inexplicably bound to the mysterious Habogi. When he appears, a coarse old peasant, on her sisters' wedding day, Helga is compelled to follow him, discovering along the way that he owns magnificent sheep, cows, and horses, promising her the finest of each. Arriving at a seemingly dilapidated house, Helga is surprised to find the interior luxuriously adorned. Habogi reveals he must prepare for their wedding, promising her return in three days for the ceremony. Upon her return with her family, they are amazed by the wealth Habogi possesses, inciting jealousy in her sisters who attempt to ruin Helga's wedding dress. However, Habogi's magic transforms their sabotage into roses and punishes them with a spell of immobility and mockery. On the wedding day, the decrepit house is replaced by a splendid palace, and Habogi is revealed to be a handsome young prince, dispelling all fears and fulfilling Helga's unexpected destiny with love and prosperity.",helga,hero,none,destiny and transformation,5,"True worth and happiness often lie beyond appearances, and destiny has a way of fulfilling itself in unexpected and magical ways",Embracing destiny,Jealousy
1579,2335,"In the wilds of Craig-Aulnaic, Banffshire, two renowned ghosts, Fhuna Mhoir Ben Baynac and Clashnichd Aulnaic, resided. Despite their shared ghostly nature, Ben Baynac often cruelly mistreated Clashnichd, causing her to emit distressing shrieks that disturbed the local farmer, James Gray, and his family. One day, Gray encountered Clashnichd and learned of her suffering. Moved by her story, he vowed to protect her and sought information on how to defeat Ben Baynac. Armed with the knowledge that a mole on Ben Baynac's chest was his only vulnerability, Gray successfully vanquished the tyrant ghost with a well-aimed arrow, liberating Clashnichd. In gratitude, she pledged her service to Gray, even attempting to use deer as horses to move her belongings back to her home, a task that humorously showcased her eagerness but lack of practical skill. However, Clashnichd's service to Gray was short-lived due to her untimely demise caused by a scalding accident at the Mill of Delnabo, ending her visits and assistance to Gray and his family.",james gray,hero,ben baynac,ghostly oppression and liberation,3,Courage and compassion can overcome tyranny and restore freedom to the oppressed,Standing up for the oppressed,Bullying and oppression
1580,2336,"In a tale of cause and effect, a farmer's wife loses a grain of corn to a thieving crow, which sets off a chain of events in an attempt to retrieve it. After the crow fails to recover the grain from a crack in a tree, it seeks help from various characters, including a woodman, a king, a queen, a snake, a stick, fire, water, an ox, a rope, a mouse, and finally a cat. Each character refuses to perform the task the crow requests, leading the crow to the next, until it mentions a mouse to a cat, which triggers a domino effect. The cat's natural instinct to chase the mouse sets off a sequence where each character performs the action the crow initially requested of them, ultimately leading to the tree being cut down and the crow retrieving the grain of corn, thus saving its life from the farmer's wife. This story illustrates the interconnectedness of actions and the unforeseen consequences that can arise from a single, seemingly small event.",crow,victim,none,persistence,4,"Determination and resourcefulness can lead to solving a problem, even when faced with repeated refusals and obstacles",Persistence,Stealing
1581,2337,"Mr. and Mrs. Vinegar, who lived in a vinegar bottle, faced disaster when Mrs. Vinegar accidentally destroyed their home. In an attempt to seek their fortune, they encountered a band of thieves in a forest and inadvertently acquired a fortune in golden guineas from them. Mr. Vinegar, tasked with buying a cow to secure their future, ended up trading the cow for bagpipes, the bagpipes for gloves, and finally the gloves for a stick, influenced by whims and the allure of immediate satisfaction. Each trade diminished the value of his original fortune until he was left with nothing but a worthless stick. Upon returning to his wife without the promised prosperity, he was met with a severe reprimand. This story illustrates the folly of poor decision-making and the consequences of valuing fleeting desires over substantial, long-term benefits.",mr vinegar,victim,none,poor decision-making,2,Impulsive and poor decision-making can lead to significant losses and missed opportunities for securing one's future,Prudence in decision-making,Impulsiveness in decision-making
1582,2338,"In a tale set by the river Kingin, a proud mole father seeks the grandest suitor in the universe for his exceptional daughter. He consults various elements of nature, each considered the greatest by consensus, starting with the Great Blue Sky, then the Sun, the Cloud, and the Wind, only to be redirected each time to a mightier force. His quest leads him to Miryek, a colossal stone image revered as the greatest thing on earth. However, Miryek humbly declines the offer, revealing that the mole, with its relentless burrowing, is the true greatest force, capable of toppling even the mightiest stone. Accepting this wisdom, the mole father joyfully marries his daughter to a handsome mole, finding that the greatest suitor was within their own kind, and they live happily ever after. This story encapsulates a journey of realization that sometimes the greatest things are found close to home, and it celebrates the humble mole's unexpected supremacy in the natural hierarchy.",father mole,hero,none,the quest for the greatest suitor,5,"True greatness often lies in the humble and overlooked, and sometimes what we seek far and wide is found close to home",Valuing humility and recognizing inner worth,Overlooking the value of what is close to home
1583,2339,"A King declared that anyone who could cross a glass mountain without falling would win his daughter's hand in marriage. A suitor, in love with the princess, accepted the challenge, and they attempted the climb together. Midway, the princess slipped and fell into the mountain, disappearing into a deep cave where she became the servant of an old man named Old Rinkrank. After many years, the princess, now called Mother Mansrot, trapped Old Rinkrank by his beard in a window and demanded the ladder to escape. She returned to her father and betrothed, recounted her ordeal, and led them to Old Rinkrank, who was then executed. The princess married her betrothed, and they lived happily, enriched by Old Rinkrank's hoarded wealth.",princess,"hero, victim",old rinkrank,resilience and escape from captivity,4,Perseverance and cleverness can overcome adversity and lead to freedom and happiness,Perseverance and ingenuity,Imprisoning others
1584,2340,"A poor fisherman and his wife's fortunes are transformed when he catches and releases a golden fish that promises to turn their humble cottage into a castle filled with endless food, under the condition that they never reveal the source of their wealth. Despite initial compliance, the wife's curiosity leads the fisherman to disclose their secret, causing them to lose everything. The fish grants them a second chance, but again, their fortune disappears when the fisherman reveals the secret. On a third encounter, the fish instructs the fisherman to cut it into pieces: two for his wife to eat, two for his horse, and two to plant in the garden. This results in the birth of golden twin boys, the growth of golden lilies, and the birth of golden foals. The twins set off into the world, facing mockery and danger, but ultimately finding love and adventure. One brother is turned to stone by a witch but is saved by the other. In the end, they return to their family, and they all live happily ever after, with the golden lilies indicating the brothers' well-being.",fisherman,"hero, victim",none,the consequences of greed and the importance of keeping promises,4,"Curiosity and greed can lead to one's downfall, but forgiveness and second chances can restore lost fortunes and bring happiness",Keeping promises,Breaking promises
1585,2342,"In a tale of caution and obedience, a little boy named Smolicheck lives in the woods with his guardian, a deer named Golden Antlers. Golden Antlers warns Smolicheck never to open the door to their home while he is away, especially not to the sweet-voiced but wicked wood maidens who seek to lure Smolicheck out. Despite his promises, Smolicheck's curiosity and sympathy for the maidens' pleas lead him to open the door, resulting in his capture. The first time, Golden Antlers rescues him promptly, but the second time, Smolicheck is taken to the maidens' cave where they plan to fatten and roast him. In a terrifying moment, as he is about to be cooked, Smolicheck's cries finally reach Golden Antlers, who rescues him once more. Smolicheck learns his lesson about obedience and never disobeys Golden Antlers again, marking a poignant end to his harrowing adventures with the wood maidens.",smolicheck,victim,wicked little wood maidens,obedience and consequences of disobedience,2,"Disobeying warnings and succumbing to temptation can lead to dangerous situations, but learning from one's mistakes is crucial for personal growth and safety",Obedience,Disobedience
